,count,unique,top,freq,mean,std,min,25%,50%,75%,max
name,7412,7267,Nobody's Fool,3,,,,,,,
rating,7412,12,R,3608,,,,,,,
genre,7412,18,Comedy,2182,,,,,,,
year,7412.0,,,,2000.640717754992,11.028735613252934,1980.0,1991.0,2001.0,2010.0,2020.0
released,7412,3292,"October 4, 1991 (United States)",9,,,,,,,
score,7412.0,,,,6.396910415542364,0.963161654951264,1.9,5.8,6.5,7.1,9.3
votes,7412.0,,,,90763.57420399353,165346.6352725507,105.0,10000.0,34000.0,96000.0,2400000.0
director,7412,2816,Woody Allen,38,,,,,,,
writer,7412,4354,Woody Allen,37,,,,,,,
star,7412,2652,Nicolas Cage,43,,,,,,,
country,7412,57,United States,5358,,,,,,,
budget,7412.0,,,,32192325.02954668,36106627.50098877,6000.0,14000000.0,21800000.0,33025000.0,356000000.0
gross,7412.0,,,,78993552.55423637,166216386.05281112,309.0,4633887.75,20403521.5,76442306.75,2847246203.0
company,7412,2242,Universal Pictures,376,,,,,,,
runtime,7412.0,,,,107.44643820831085,18.517471194446255,63.0,95.0,104.0,116.0,366.0
primary_genre,7412,18,Comedy,2182,,,,,,,
genre_group,7412,6,Comedy,2182,,,,,,,
